Date,New Confirmed,Confirmed
2020/1/31,2,2
2020/2/1,0,2
2020/2/2,0,2
2020/2/3,0,2
2020/2/4,0,2
2020/2/5,0,2
2020/2/6,1,3
2020/2/7,0,3
2020/2/8,0,3
2020/2/9,1,4
2020/2/10,4,8
2020/2/11,0,8
2020/2/12,0,8
2020/2/13,1,9
2020/2/14,0,9
2020/2/15,0,9
2020/2/16,0,9
2020/2/17,0,9
2020/2/18,0,9
2020/2/19,0,9
2020/2/20,0,9
2020/2/21,0,9
2020/2/22,0,9
2020/2/23,0,9
2020/2/24,4,13
2020/2/25,0,13
2020/2/26,0,13
2020/2/27,0,13
2020/2/28,6,19
2020/2/29,4,23
2020/3/1,12,35
2020/3/2,5,40
2020/3/3,11,51
2020/3/4,34,85
2020/3/5,29,114
2020/3/6,46,160
2020/3/7,46,206
2020/3/8,65,271
2020/3/9,50,321
2020/3/10,52,373
2020/3/11,83,456
2020/3/12,139,590
2020/3/13,207,797
2020/3/14,343,1140
