Date,Confirmed,Suspected,Recovered,Deaths,Severe,Contact
20200317, 3, 15,  2, 0, 0, 0
20200316, 9,  7, 10, 0, 0, 14
20200315, 4,  7,  5, 0, 0, 67
20200314, 5,  9,  4, 0, 0, 12
20200313, 1,  4,  7, 0, 0, 14
20200312, 1,  9,  8, 0, 0, 14
20200311, 0,  5,  8, 0, 0, 31
20200310, 6,  2,  6, 0, 0, 44
20200309, 1,  9,  5, 0, 0, 19
20200308, 0,  8,  7, 0, 0, 0
20200307, 2,  3,  5, 0, 0, 87
20200306, 4, 13,  5, 0, 0, 99
20200305, 4,  3,  1, 0, 0, 7
20200304, 1, 10,  3, 0, 0, 71
20200303, 3, 11,  6, 0, 0, 61
20200302, 0, 14,  6, 0, 0,  7
20200301, 1, 12,  6, 0, 0, 38
20200229, 2, 18,  5, 0, 0,  7
20200228, 1,  9, 14, 1, 0, 16
20200227, 0, 12,  9, 2, 0, 81
20200226,10, 10, 13, 1, 0, 84
20200225, 0, 21, 20, 0, 0, 87
20200224, 1, 18, 17, 0, 0,  3
20200223, 0, 30,  9, 0, 0, 32
20200222, 0, 35, 11, 0, 0, 19
20200221, 3, 26,  9, 0, 0,338
20200220, 1, 41, 16, 0, 0,  4
20200219, 2, 25,  8, 0, 0, 16
20200218, 6, 58, 23, 0, 0,108
20200217, 6, 49,  8, 0, 0, 47
20200216, 1, 33,  9, 0, 0, 71
20200215, 5,  0,  8, 0, 0,  6
20200214, 3,  0, 18, 0, 0, 67
20200213, 6,  0, 11, 1, 0, 74
20200212,14,  0, 12, 0, 0,163
20200211,10,  0,  8, 0, 0, 37

20200210, 5, 29,  4, 1, 0, 37
20200209,11, 23,  7, 0, 0, 46
20200208,11, 21,  3, 0, 0,217
20200207,18,  6,  1, 1, 0,181
20200206,23,  0,  2, 0, 0, 0
 
20200205, 21, 0, 7, 0, 0, 0
20200204, 25, 0, 1, 0, 0, 0
20200203, 16, 0,11, 0, 0, 0
20200202, 32, 0, 3, 0, 0, 0
20200201, 24, 0, 4, 0, 0, 0
20200131, 24, 0, 0, 0, 0, 0
20200130, 21, 0, 1, 2, 0, 0
20200129, 20, 0, 0, 2, 0, 0
20200128, 11, 0, 2, 0, 0, 0
20200127, 12, 0, 0, 14, 0, 0
20200126, 17, 0, 0, 0, 0, 0
20200125, 15, 0, 1, 0, 0, 0
20200124, 10, 0, 1, 0, 0, 0
20200123, 12, 0, 0, 0, 0, 0
20200122,  4, 0, 0, 0, 0, 0
20200121,  5, 0, 0, 0, 0, 0
20200120,  3, 0, 0, 0, 0, 0
20200119,  2, 0, 0, 0, 0, 0
20200118,  0, 0, 0, 0, 0, 0
